CD_ENTIDADE,NM_ENTIDADE,TP_ENTIDADE,DC_TIPO_ENTIDADE,TX_ACERTO,DC_HABILIDADE,CD_HABILIDADE,VL_FILTRO_DISCIPLINA,VL_FILTRO_ETAPA,VL_FILTRO_REDE,VL_FILTRO_AVALIACAO,DC_FILTRO_AVALIACAO,NM_REGIONAL
00001,MARACANAU,02,REGIONAL,96,Identificar figuras tridimensionais por meio de suas características.,H 05 (D141_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO,MUNICIPAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),MARACANAU
00008,BATURITE,02,REGIONAL,30,Identificar um sistema de equações do 1º grau que expressa um problema.,H 13 (D121_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,MUNICIPAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),BATURITE
00008,BATURITE,02,REGIONAL,32,Calcular o valor numérico de uma expressão algébrica.,H 10 (D120_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
00001,MARACANAU,02,REGIONAL,66,Reconhecer os elementos que compõem uma narrativa e o conflito gerador.,H 07 (D030_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00004,CAMOCIM,02,REGIONAL,28,"Utilizar números racionais, envolvendo diferentes significados das operações, na resolução de problema.",H 05 (D040_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00006,SOBRAL,02,REGIONAL,64,Utilizar o princípio multiplicativo de contagem na resolução de problema.,H 07 (D047_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,ESTADUAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),SOBRAL
00008,BATURITE,02,REGIONAL,55,Resolver problema utilizando a escrita decimal de cédulas e moedas do sistema monetário brasileiro.,H 09 (D043_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,PÚBLICA,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),BATURITE
00001,MARACANAU,02,REGIONAL,79,Localizar informação explícita.,H 04 (D021_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00003,ACARAU,02,REGIONAL,30,Corresponder o horário de início e de término com o intervalo de duração de um evento ou acontecimento.,H 17 (D180_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,PÚBLICA,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),ACARAU
00001,MARACANAU,02,REGIONAL,49,Reconhecer o efeito de sentido decorrente da escolha de uma determinada palavra ou expressão.,H 14 (D053_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,ESTADUAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),MARACANAU
00001,MARACANAU,02,REGIONAL,69,Reconhecer efeito de humor ou de ironia em um texto.,H 07 (D024_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00003,ACARAU,02,REGIONAL,69,"Utilizar números naturais, envolvendo diferentes significados das operações de multiplicação e divisão, na resolução de problemas.",H 05 (D032_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,PÚBLICA,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),ACARAU
00004,CAMOCIM,02,REGIONAL,59,Reconhecer o sentido das relações lógico-discursivas em um texto.,H 08 (D039_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,PÚBLICA,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),CAMOCIM
00003,ACARAU,02,REGIONAL,75,Identificar composições ou decomposições de números naturais.,H 05 (D010_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,ESTADUAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),ACARAU
00003,ACARAU,02,REGIONAL,0,Reconhecer os elementos que compõem uma narrativa e o conflito gerador.,H 10 (D030_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,ESTADUAL,18621,1º AVALIE.CE 2024,
00008,BATURITE,02,REGIONAL,-,"Associar a representação algébrica de uma equação linear de 1º grau, com duas incógnitas, à sua representação gráfica.",H 03 (D014_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,ESTADUAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),BATURITE
00007,CANINDE,02,REGIONAL,60,Localizar informação explícita.,H 09 (D021_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO,PÚBLICA,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),CANINDE
00007,CANINDE,02,REGIONAL,8,Identificar simetrias ou eixos de simetria em figuras geométricas planas.,H 18 (D218_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,ESTADUAL,18621,1º AVALIE.CE 2024,
00001,MARACANAU,02,REGIONAL,27,"Associar a representação algébrica de uma equação linear de 1º grau, com duas incógnitas, à sua representação gráfica.",H 03 (D014_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,PÚBLICA,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),MARACANAU
00007,CANINDE,02,REGIONAL,62,Localizar informação explícita.,H 03 (D021_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00002,ITAPIPOCA,02,REGIONAL,44,"Identificar uma sequência crescente ou decrescente, dentre uma coleção de sequências de números racionais.",H 02 (D006_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,PÚBLICA,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),ITAPIPOCA
